"p0","var.z","h2","t","nbar","nvar","psrv","nn"
0.25,0.1,0.25,0,2020000,0,1,1000
0.25,0.1,0.25,1,327868.119,44741290.2731121,1,1000
0.25,0.1,0.25,2,77698.896,14203757.8710551,1,1000
0.25,0.1,0.25,3,22682.479,4367005.81537437,1,1000
0.25,0.1,0.25,4,7847.498,1554930.52652252,1,1000
0.25,0.1,0.25,5,3062.522,581940.15366967,1,1000
0.25,0.1,0.25,6,1310.475,250770.754129129,1,1000
0.25,0.1,0.25,7,612.055894308943,118670.551297877,1,984
0.25,0.1,0.25,8,329.597048808173,51479.1817640078,1,881
0.25,0.1,0.25,9,217.172989377845,25085.894041354,1,659
0.25,0.1,0.25,10,162.859688195991,13766.1164293668,1,449
0.25,0.1,0.25,11,147.752650176678,11226.9031401148,1,283
0.25,0.1,0.25,12,128.497382198953,4501.48288784789,1,191
0.25,0.1,0.25,13,115.190082644628,2772.25523415978,1,121
0.25,0.1,0.25,14,107.392405063291,1135.6517364492,1,79
0.25,0.1,0.25,15,104.672727272727,364.076094276094,1,55
0.25,0.1,0.25,16,103.805555555556,283.361111111111,1,36
0.25,0.1,0.25,17,101,0,1,27
0.25,0.1,0.25,18,101,0,1,19
0.25,0.1,0.25,19,101,0,1,14
0.25,0.1,0.25,20,101,0,1,11
0.25,0.1,0.25,21,101,0,1,7
0.25,0.1,0.25,22,101,0,1,5
0.25,0.1,0.25,23,101,0,1,4
0.25,0.1,0.25,24,101,0,1,4
0.25,0.1,0.25,25,101,0,1,3
0.25,0.1,0.25,26,101,0,1,3
0.25,0.1,0.25,27,101,0,1,3
0.25,0.1,0.25,28,101,0,1,3
0.25,0.1,0.25,29,101,0,1,2
0.25,0.1,0.25,30,101,0,1,2
0.25,0.1,0.25,31,101,0,1,2
0.25,0.1,0.25,32,101,0,1,2
0.25,0.1,0.25,33,101,0,1,2
0.25,0.1,0.25,34,101,0,1,2
0.25,0.1,0.25,35,101,0,1,2
0.25,0.1,0.25,36,101,0,1,2
0.25,0.1,0.25,37,101,0,1,2
0.25,0.1,0.25,38,101,0,1,2
0.25,0.1,0.25,39,101,0,1,2
0.25,0.1,0.5,0,2020000,0,1,1000
0.25,0.1,0.5,1,328228.79,48109303.7036036,1,1000
0.25,0.1,0.5,2,79158.144,13548607.3766406,1,1000
0.25,0.1,0.5,3,24196.166,4729257.57001401,1,1000
0.25,0.1,0.5,4,8857.599,1780798.46466366,1,1000
0.25,0.1,0.5,5,3730.435,789518.342117117,1,1000
0.25,0.1,0.5,6,1750.431,370763.35058959,1,1000
0.25,0.1,0.5,7,890.094094094094,210929.654464083,1,999
0.25,0.1,0.5,8,492.871413390011,118368.827064915,1,941
0.25,0.1,0.5,9,326.583129584352,81338.3315143063,1,818
0.25,0.1,0.5,10,246.657686212361,50707.6921590823,1,631
0.25,0.1,0.5,11,217.711111111111,49598.9230388518,1,450
0.25,0.1,0.5,12,196.184848484848,50164.9231739891,1,330
0.25,0.1,0.5,13,186.69696969697,59950.6990777339,1,231
0.25,0.1,0.5,14,167.554913294798,47261.3879553703,1,173
0.25,0.1,0.5,15,163.806722689076,56363.3945306936,1,119
0.25,0.1,0.5,16,176.162790697674,64370.9614227086,1,86
0.25,0.1,0.5,17,173.383333333333,53975.9692090395,1,60
0.25,0.1,0.5,18,202,122412,1,41
0.25,0.1,0.5,19,261.206896551724,315879.24137931,1,29
0.25,0.1,0.5,20,320.565217391304,589480.711462451,1,23
0.25,0.1,0.5,21,398.388888888889,994264.133986928,1,18
0.25,0.1,0.5,22,486.0625,1599814.32916667,1,16
0.25,0.1,0.5,23,681.75,2619106.75,1,12
0.25,0.1,0.5,24,942.666666666667,4967887,1,9
0.25,0.1,0.5,25,1085.75,6676554.5,1,8
0.25,0.1,0.5,26,1199.375,9400767.98214286,1,8
0.25,0.1,0.5,27,1515,13995772,1,7
0.25,0.1,0.5,28,2104.16666666667,24076060.1666667,1,6
0.25,0.1,0.5,29,2137.83333333333,24892140.1666667,1,6
0.25,0.1,0.5,30,4780.66666666667,65697840.3333333,1,3
0.25,0.1,0.5,31,5891.66666666667,100595461.333333,1,3
0.25,0.1,0.5,32,5824.33333333333,98269633.3333333,1,3
0.25,0.1,0.5,33,6295.66666666667,115121685.333333,1,3
0.25,0.1,0.5,34,7036.33333333333,144296545.333333,1,3
0.25,0.1,0.5,35,7339.33333333333,157180408.333333,1,3
0.25,0.1,0.5,36,7878,181445187,1,3
0.25,0.1,0.5,37,9123.66666666667,244225541.333333,1,3
0.25,0.1,0.5,38,14544,417200498,1,2
0.25,0.1,0.5,39,16917.5,565589344.5,1,2
0.25,0.1,0.5,40,37471,NA,1,1
0.25,0.1,0.5,41,41208,NA,1,1
0.25,0.1,0.5,42,47369,NA,1,1
0.25,0.1,0.5,43,56257,NA,1,1
0.25,0.1,0.5,44,64539,NA,1,1
0.25,0.1,0.5,45,72619,NA,1,1
0.25,0.1,0.5,46,78578,NA,1,1
0.25,0.1,0.5,47,88577,NA,1,1
0.25,0.1,0.5,48,101707,NA,1,1
0.25,0.1,0.5,49,115140,NA,1,1
0.25,0.1,0.5,50,128068,NA,1,1
0.25,0.1,0.5,51,146349,NA,1,1
0.25,0.1,0.5,52,166650,NA,1,1
0.25,0.1,0.5,53,188365,NA,1,1
0.25,0.1,0.5,54,216847,NA,1,1
0.25,0.1,0.5,55,246743,NA,1,1
0.25,0.1,0.5,56,278861,NA,1,1
0.25,0.1,0.5,57,311484,NA,1,1
0.25,0.1,0.5,58,352490,NA,1,1
0.25,0.1,0.5,59,394405,NA,1,1
0.25,0.1,0.5,60,446521,NA,1,1
0.25,0.1,0.5,61,493183,NA,1,1
0.25,0.1,0.5,62,549440,NA,1,1
0.25,0.1,0.5,63,603071,NA,1,1
0.25,0.1,0.5,64,671347,NA,1,1
0.25,0.1,0.5,65,733967,NA,1,1
0.25,0.1,0.5,66,799112,NA,1,1
0.25,0.1,0.5,67,862843,NA,1,1
0.25,0.1,0.5,68,925261,NA,1,1
0.25,0.1,0.5,69,991416,NA,1,1
0.25,0.1,0.5,70,1060096,NA,1,1
0.25,0.1,0.5,71,1144128,NA,1,1
0.25,0.1,0.5,72,1225130,NA,1,1
0.25,0.1,0.5,73,1295426,NA,1,1
0.25,0.1,0.5,74,1361379,NA,1,1
0.25,0.1,0.5,75,1430160,NA,1,1
0.25,0.1,0.5,76,1478842,NA,1,1
0.25,0.1,0.5,77,1535806,NA,1,1
0.25,0.1,0.5,78,1582266,NA,1,1
0.25,0.1,0.5,79,1635594,NA,1,1
0.25,0.1,0.5,80,1678620,NA,1,1
0.25,0.1,0.5,81,1733665,NA,1,1
0.25,0.1,0.5,82,1765379,NA,1,1
0.25,0.1,0.5,83,1806587,NA,1,1
0.25,0.1,0.5,84,1811435,NA,1,1
0.25,0.1,0.5,85,1821030,NA,1,1
0.25,0.1,0.5,86,1836685,NA,1,1
0.25,0.1,0.5,87,1860420,NA,1,1
0.25,0.1,0.5,88,1859915,NA,1,1
0.25,0.1,0.5,89,1863349,NA,1,1
0.25,0.1,0.5,90,1876782,NA,1,1
0.25,0.1,0.5,91,1885064,NA,1,1
0.25,0.1,0.5,92,1900315,NA,1,1
0.25,0.1,0.5,93,1916980,NA,1,1
0.25,0.1,0.5,94,1918293,NA,1,1
0.25,0.1,0.5,95,1945159,NA,1,1
0.25,0.1,0.5,96,1970712,NA,1,1
0.25,0.1,0.5,97,1963743,NA,1,1
0.25,0.1,0.5,98,1958390,NA,1,1
0.25,0.1,0.5,99,1984044,NA,1,1
0.25,0.1,0.5,100,2008991,NA,1,1
0.25,0.1,1,0,2020000,0,1,1000
0.25,0.1,1,1,328261.817,49520364.5440551,1,1000
0.25,0.1,1,2,82116.03,16539498.0571572,1,1000
0.25,0.1,1,3,27310.602,6009853.24684284,1,1000
0.25,0.1,1,4,11562.581,2737213.59103003,1,1000
0.25,0.1,1,5,5930.72,1605137.05065065,1,1000
0.25,0.1,1,6,3526.718,1068840.92940541,1,1000
0.25,0.1,1,7,2370.672,818910.711127127,1,1000
0.25,0.1,1,8,1783.256,760833.91638038,1,1000
0.25,0.1,1,9,1453.77254509018,774541.788733937,1,998
0.25,0.1,1,10,1269.71428571429,775109.282941777,1,980
0.25,0.1,1,11,1183.47734457324,823120.800382815,1,949
0.25,0.1,1,12,1143.27608695652,927059.418796423,1,920
0.25,0.1,1,13,1151.78846153846,1085543.82722798,1,884
0.25,0.1,1,14,1190.77449822904,1309786.60748128,1,847
0.25,0.1,1,15,1259.81582200247,1543225.44252163,1,809
0.25,0.1,1,16,1364.09567496723,1854208.77429885,1,763
0.25,0.1,1,17,1512.2366621067,2377076.88501021,1,731
0.25,0.1,1,18,1720.30911680912,3195812.44781976,1,702
0.25,0.1,1,19,1961.44709388972,4247414.49234602,1,671
0.25,0.1,1,20,2236.16178736518,5718262.49075976,1,649
0.25,0.1,1,21,2535.43720190779,7465869.59358197,1,629
0.25,0.1,1,22,2922.09120521173,10129428.7029242,1,614
0.25,0.1,1,23,3383.24537815126,13555252.741035,1,595
0.25,0.1,1,24,3936.3606271777,18037800.0041015,1,574
0.25,0.1,1,25,4535.09803921569,24033876.7457283,1,561
0.25,0.1,1,26,5231.06545454545,32326028.258003,1,550
0.25,0.1,1,27,6045.59814814815,43262800.9755068,1,540
0.25,0.1,1,28,6912.57541899441,58786543.6104394,1,537
0.25,0.1,1,29,8059.6463878327,78456428.0347203,1,526
0.25,0.1,1,30,9379.86019417476,103223567.392868,1,515
0.25,0.1,1,31,10777.8882352941,134256596.130903,1,510
0.25,0.1,1,32,12466.2569721116,179103923.488724,1,502
0.25,0.1,1,33,14309.0120967742,230098229.781672,1,496
0.25,0.1,1,34,16546.6147540984,301098529.543273,1,488
0.25,0.1,1,35,18999.0599173554,395258024.424974,1,484
0.25,0.1,1,36,21736.0416666667,513279163.108907,1,480
0.25,0.1,1,37,25034.8168421053,672209096.930517,1,475
0.25,0.1,1,38,29033.0663811563,882024645.796013,1,467
0.25,0.1,1,39,33326.0734341253,1142128276.80412,1,463
0.25,0.1,1,40,38122.8891304348,1471537544.05086,1,460
0.25,0.1,1,41,43468.5076252723,1891732825.83127,1,459
0.25,0.1,1,42,49660.3960612691,2439608304.25288,1,457
0.25,0.1,1,43,56426.4407894737,3108231463.62726,1,456
0.25,0.1,1,44,64313.0263736264,3966608617.14908,1,455
0.25,0.1,1,45,73297.238410596,5053462517.92091,1,453
0.25,0.1,1,46,83045.4105960265,6423027662.69387,1,453
0.25,0.1,1,47,94341.1662971175,8055401448.35673,1,451
0.25,0.1,1,48,107294.616926503,10169083306.4244,1,449
0.25,0.1,1,49,121524.868303571,12684094968.4457,1,448
0.25,0.1,1,50,137290.859060403,15715877577.637,1,447
0.25,0.1,1,51,155226.105617978,19359396153.392,1,445
0.25,0.1,1,52,175270.110609481,23672265024.2886,1,443
0.25,0.1,1,53,197149.486425339,28865178290.1143,1,442
0.25,0.1,1,54,221038.385487528,34782652397.2738,1,441
0.25,0.1,1,55,246906.294784581,41715297205.9356,1,441
0.25,0.1,1,56,274973.530612245,49518376234.3178,1,441
0.25,0.1,1,57,305223.832199547,58186442883.3718,1,441
0.25,0.1,1,58,338074.712018141,68225666243.2101,1,441
0.25,0.1,1,59,373277.678004535,79158819826.8643,1,441
0.25,0.1,1,60,411024.882086168,91079600284.9088,1,441
0.25,0.1,1,61,450855.297052154,103941218143.373,1,441
0.25,0.1,1,62,492899.238095238,117130033947.318,1,441
0.25,0.1,1,63,537096.929705215,131077434725.129,1,441
0.25,0.1,1,64,583913.979591837,145021723580.434,1,441
0.25,0.1,1,65,633585.854545454,158517395068.006,1,440
0.25,0.1,1,66,685135.91571754,171720750785.141,1,439
0.25,0.1,1,67,737478.76309795,185167088360.592,1,439
0.25,0.1,1,68,790761.439635535,197573932896.124,1,439
0.25,0.1,1,69,844630.330296128,208832297390.299,1,439
0.25,0.1,1,70,898976.842824601,218493052565.795,1,439
0.25,0.1,1,71,954375.45785877,227012879904.673,1,439
0.25,0.1,1,72,1009644.77448747,233330486245.486,1,439
0.25,0.1,1,73,1063781.23462415,237301047561.614,1,439
0.25,0.1,1,74,1117401.88154897,239471631299.812,1,439
0.25,0.1,1,75,1170249.49886105,239530950173.913,1,439
0.25,0.1,1,76,1225086.18721461,234473240486.445,1,438
0.25,0.1,1,77,1276554.6803653,230756839661.596,1,438
0.25,0.1,1,78,1326231.92237443,225024539734.987,1,438
0.25,0.1,1,79,1373311.52739726,217166910233.032,1,438
0.25,0.1,1,80,1419693.8173516,208632673674.356,1,438
0.25,0.1,1,81,1463885.69863014,198693901151.039,1,438
0.25,0.1,1,82,1506468.95890411,187939461558.081,1,438
0.25,0.1,1,83,1546323.60502283,176026588237.809,1,438
0.25,0.1,1,84,1584715.3652968,164242660628.992,1,438
0.25,0.1,1,85,1620034.46575342,152199397292.066,1,438
0.25,0.1,1,86,1652904.66210046,140159722827.103,1,438
0.25,0.1,1,87,1684927.19634703,128140583560.213,1,438
0.25,0.1,1,88,1715385.84474886,116718048814.855,1,438
0.25,0.1,1,89,1742930.71232877,105169072485.725,1,438
0.25,0.1,1,90,1769068.95890411,94174783122.4148,1,438
0.25,0.1,1,91,1793931.79223744,84083634279.4098,1,438
0.25,0.1,1,92,1814934.02739726,74346296588.5896,1,438
0.25,0.1,1,93,1834038.47716895,65079455065.5315,1,438
0.25,0.1,1,94,1852299.64611872,56944449593.4191,1,438
0.25,0.1,1,95,1869637.05707763,49208293244.4658,1,438
0.25,0.1,1,96,1885690.52283105,42334125977.8244,1,438
0.25,0.1,1,97,1900148.74200913,36114366637.5374,1,438
0.25,0.1,1,98,1913642.61872146,30864282675.6644,1,438
0.25,0.1,1,99,1926071.38356164,26219808967.3125,1,438
0.25,0.1,1,100,1937047.86986301,22152378651.1295,1,438
0.25,0.2,0.25,0,2020000,0,1,1000
0.25,0.2,0.25,1,381907.967,58674576.5224334,1,1000
0.25,0.2,0.25,2,121657.025,22975280.1104855,1,1000
0.25,0.2,0.25,3,52780.479,11031985.9074665,1,1000
0.25,0.2,0.25,4,28014.774,6594360.62154555,1,1000
0.25,0.2,0.25,5,17063.243,4107498.01196296,1,1000
0.25,0.2,0.25,6,11276.246,2816279.45894294,1,1000
0.25,0.2,0.25,7,8000.311,2089851.80007908,1,1000
0.25,0.2,0.25,8,5955.263,1589146.61044144,1,1000
0.25,0.2,0.25,9,4556.11,1277972.90680681,1,1000
0.25,0.2,0.25,10,3594.489,1042912.65253153,1,1000
0.25,0.2,0.25,11,2903.144,888992.78605005,1,1000
0.25,0.2,0.25,12,2391.68,757075.537137137,1,1000
0.25,0.2,0.25,13,2014.445,704328.249224224,1,1000
0.25,0.2,0.25,14,1699.426,610423.387911912,1,1000
0.25,0.2,0.25,15,1447.229,528968.913472472,1,1000
0.25,0.2,0.25,16,1229.69269269269,456104.744144947,1,999
0.25,0.2,0.25,17,1080.27409638554,422647.650423806,1,996
0.25,0.2,0.25,18,937.463636363636,395707.751456935,1,990
0.25,0.2,0.25,19,850.20431211499,374710.399118077,1,974
0.25,0.2,0.25,20,750.706986444213,338160.08211189,1,959
0.25,0.2,0.25,21,693.397667020148,332928.326831069,1,943
0.25,0.2,0.25,22,633.137594799567,343043.090591606,1,923
0.25,0.2,0.25,23,584.963045912654,340535.667915376,1,893
0.25,0.2,0.25,24,551.005854800937,360680.20277928,1,854
0.25,0.2,0.25,25,516.918491484185,363925.378244737,1,822
0.25,0.2,0.25,26,494.835668789809,394860.017603666,1,785
0.25,0.2,0.25,27,476.533875338753,417886.34145606,1,738
0.25,0.2,0.25,28,470.212735166425,467383.593808595,1,691
0.25,0.2,0.25,29,468.683641975309,512024.306254413,1,648
0.25,0.2,0.25,30,471.611570247934,577367.890263259,1,605
0.25,0.2,0.25,31,465.315044247788,652190.655890291,1,565
0.25,0.2,0.25,32,469.877819548872,790158.073556065,1,532
0.25,0.2,0.25,33,489.030800821355,939936.626621374,1,487
0.25,0.2,0.25,34,524.563063063063,1095890.02987412,1,444
0.25,0.2,0.25,35,555.866828087167,1285257.77591152,1,413
0.25,0.2,0.25,36,590.038860103627,1548574.33355091,1,386
0.25,0.2,0.25,37,624.286908077994,1870921.27778902,1,359
0.25,0.2,0.25,38,667.622023809524,2334230.14028962,1,336
0.25,0.2,0.25,39,726.347402597403,2877137.15904861,1,308
0.25,0.2,0.25,40,774.919860627178,3280556.44460418,1,287
0.25,0.2,0.25,41,869.528735632184,4165387.58859416,1,261
0.25,0.2,0.25,42,982.225,5174845.65627615,1,240
0.25,0.2,0.25,43,1069.43805309735,6257734.54058997,1,226
0.25,0.2,0.25,44,1223.65384615385,8060821.86027499,1,208
0.25,0.2,0.25,45,1437.671875,11110889.3106185,1,192
0.25,0.2,0.25,46,1565.5,13629873.8360656,1,184
0.25,0.2,0.25,47,1769.52,16635349.9291954,1,175
0.25,0.2,0.25,48,2070.19018404908,21562568.3031129,1,163
0.25,0.2,0.25,49,2347.26623376623,26927847.0855191,1,154
0.25,0.2,0.25,50,2737.74468085106,34809411.8057751,1,141
0.25,0.2,0.25,51,3006.80740740741,41000702.7984522,1,135
0.25,0.2,0.25,52,3532.5564516129,51900442.7366247,1,124
0.25,0.2,0.25,53,4047.90434782609,63761287.4732265,1,115
0.25,0.2,0.25,54,4590.30841121495,76473092.5360607,1,107
0.25,0.2,0.25,55,5215,95320331.66,1,101
0.25,0.2,0.25,56,6279.75824175824,124573613.074237,1,91
0.25,0.2,0.25,57,7074.64367816092,149433003.790163,1,87
0.25,0.2,0.25,58,7738.97647058824,177936280.166106,1,85
0.25,0.2,0.25,59,8554.20731707317,205294416.98118,1,82
0.25,0.2,0.25,60,9500.3125,248275125.8125,1,80
0.25,0.2,0.25,61,10259.8101265823,290163418.899383,1,79
0.25,0.2,0.25,62,11090.8227848101,340346968.557936,1,79
