"t","n","trial","p0","h2","var.z"
0,20000,1,0.964285714285714,0.25,0.1
1,3222,1,0.964285714285714,0.25,0.1
2,1019,1,0.964285714285714,0.25,0.1
3,489,1,0.964285714285714,0.25,0.1
4,422,1,0.964285714285714,0.25,0.1
5,329,1,0.964285714285714,0.25,0.1
6,49,1,0.964285714285714,0.25,0.1
7,56,1,0.964285714285714,0.25,0.1
0,20000,2,0.964285714285714,0.25,0.1
1,3205,2,0.964285714285714,0.25,0.1
2,1470,2,0.964285714285714,0.25,0.1
3,954,2,0.964285714285714,0.25,0.1
4,555,2,0.964285714285714,0.25,0.1
5,109,2,0.964285714285714,0.25,0.1
6,3,2,0.964285714285714,0.25,0.1
0,20000,3,0.964285714285714,0.25,0.1
1,3016,3,0.964285714285714,0.25,0.1
2,1303,3,0.964285714285714,0.25,0.1
3,488,3,0.964285714285714,0.25,0.1
4,421,3,0.964285714285714,0.25,0.1
5,217,3,0.964285714285714,0.25,0.1
6,2,3,0.964285714285714,0.25,0.1
0,20000,4,0.964285714285714,0.25,0.1
1,3190,4,0.964285714285714,0.25,0.1
2,1178,4,0.964285714285714,0.25,0.1
3,658,4,0.964285714285714,0.25,0.1
4,219,4,0.964285714285714,0.25,0.1
5,214,4,0.964285714285714,0.25,0.1
6,253,4,0.964285714285714,0.25,0.1
7,141,4,0.964285714285714,0.25,0.1
8,241,4,0.964285714285714,0.25,0.1
9,181,4,0.964285714285714,0.25,0.1
10,296,4,0.964285714285714,0.25,0.1
11,338,4,0.964285714285714,0.25,0.1
12,716,4,0.964285714285714,0.25,0.1
13,828,4,0.964285714285714,0.25,0.1
14,1148,4,0.964285714285714,0.25,0.1
15,1579,4,0.964285714285714,0.25,0.1
16,2049,4,0.964285714285714,0.25,0.1
17,2725,4,0.964285714285714,0.25,0.1
18,2948,4,0.964285714285714,0.25,0.1
19,3326,4,0.964285714285714,0.25,0.1
20,4018,4,0.964285714285714,0.25,0.1
21,4552,4,0.964285714285714,0.25,0.1
22,6156,4,0.964285714285714,0.25,0.1
23,7001,4,0.964285714285714,0.25,0.1
24,8235,4,0.964285714285714,0.25,0.1
25,8918,4,0.964285714285714,0.25,0.1
26,10097,4,0.964285714285714,0.25,0.1
27,10039,4,0.964285714285714,0.25,0.1
28,11601,4,0.964285714285714,0.25,0.1
29,10961,4,0.964285714285714,0.25,0.1
30,9968,4,0.964285714285714,0.25,0.1
31,10148,4,0.964285714285714,0.25,0.1
32,10854,4,0.964285714285714,0.25,0.1
33,10963,4,0.964285714285714,0.25,0.1
34,13190,4,0.964285714285714,0.25,0.1
35,11374,4,0.964285714285714,0.25,0.1
36,11646,4,0.964285714285714,0.25,0.1
37,12376,4,0.964285714285714,0.25,0.1
38,12350,4,0.964285714285714,0.25,0.1
39,13027,4,0.964285714285714,0.25,0.1
40,12594,4,0.964285714285714,0.25,0.1
41,13734,4,0.964285714285714,0.25,0.1
42,13354,4,0.964285714285714,0.25,0.1
43,13638,4,0.964285714285714,0.25,0.1
44,13595,4,0.964285714285714,0.25,0.1
45,14707,4,0.964285714285714,0.25,0.1
46,14493,4,0.964285714285714,0.25,0.1
47,13258,4,0.964285714285714,0.25,0.1
48,14313,4,0.964285714285714,0.25,0.1
49,14100,4,0.964285714285714,0.25,0.1
50,16487,4,0.964285714285714,0.25,0.1
51,14206,4,0.964285714285714,0.25,0.1
52,17226,4,0.964285714285714,0.25,0.1
53,13970,4,0.964285714285714,0.25,0.1
54,14527,4,0.964285714285714,0.25,0.1
55,14071,4,0.964285714285714,0.25,0.1
56,14654,4,0.964285714285714,0.25,0.1
57,15395,4,0.964285714285714,0.25,0.1
58,16184,4,0.964285714285714,0.25,0.1
59,15957,4,0.964285714285714,0.25,0.1
60,17494,4,0.964285714285714,0.25,0.1
61,17587,4,0.964285714285714,0.25,0.1
62,16819,4,0.964285714285714,0.25,0.1
63,18146,4,0.964285714285714,0.25,0.1
64,17280,4,0.964285714285714,0.25,0.1
65,17325,4,0.964285714285714,0.25,0.1
66,17356,4,0.964285714285714,0.25,0.1
67,18587,4,0.964285714285714,0.25,0.1
68,16536,4,0.964285714285714,0.25,0.1
69,16705,4,0.964285714285714,0.25,0.1
70,16329,4,0.964285714285714,0.25,0.1
71,17317,4,0.964285714285714,0.25,0.1
72,15949,4,0.964285714285714,0.25,0.1
73,17822,4,0.964285714285714,0.25,0.1
74,17664,4,0.964285714285714,0.25,0.1
75,18102,4,0.964285714285714,0.25,0.1
76,17737,4,0.964285714285714,0.25,0.1
77,19042,4,0.964285714285714,0.25,0.1
78,17420,4,0.964285714285714,0.25,0.1
79,18990,4,0.964285714285714,0.25,0.1
80,18924,4,0.964285714285714,0.25,0.1
