"t","p0","var.z","h2","llbar","llvar","n","nn"
0,0.25,0.1,0.25,-1.81844863158704,0.000414436841361528,20000,1000
0,0.25,0.1,0.5,-1.81736514239123,0.000447194309768767,20000,1000
0,0.25,0.1,1,-1.81727070656903,0.000459244696818702,20000,1000
0,0.25,0.2,0.25,-1.66587438639399,0.00040326208248972,20000,1000
0,0.25,0.2,0.5,-1.66633013973632,0.000369150362463555,20000,1000
0,0.25,0.2,1,-1.66628839011777,0.000396628357411661,20000,1000
0,0.25,0.4,0.25,-1.43524695947742,0.000313672916486538,20000,1000
0,0.25,0.4,0.5,-1.43483091572612,0.000308122177999136,20000,1000
0,0.25,0.4,1,-1.43522016757465,0.000308872592412951,20000,1000
0,0.75,0.1,0.25,-1.8177460934958,0.0020426901784124,20000,1000
0,0.75,0.1,0.5,-1.81762542219858,0.00211540468237309,20000,1000
0,0.75,0.1,1,-1.81914502296934,0.00205167562863544,20000,1000
0,0.75,0.2,0.25,-1.66899023141792,0.00170770754166532,20000,1000
0,0.75,0.2,0.5,-1.66968559074312,0.00176931868468628,20000,1000
0,0.75,0.2,1,-1.66697834236523,0.00180233420429412,20000,1000
0,0.75,0.4,0.25,-1.42937399080165,0.00144776957816885,20000,1000
0,0.75,0.4,0.5,-1.42956198884325,0.00142880663105888,20000,1000
0,0.75,0.4,1,-1.42959326807791,0.00136281862878239,20000,1000
0,0.964285714285714,0.1,0.25,-1.82627842236385,0.0195072501127889,20000,1000
0,0.964285714285714,0.1,0.5,-1.82945961953592,0.0168359059212295,20000,1000
0,0.964285714285714,0.1,1,-1.83128438504392,0.0180899615579542,20000,1000
0,0.964285714285714,0.2,0.25,-1.67488671514485,0.0140578257181975,20000,1000
0,0.964285714285714,0.2,0.5,-1.68285459682106,0.0150372568110869,20000,1000
0,0.964285714285714,0.2,1,-1.67954646114951,0.0146682888348959,20000,1000
0,0.964285714285714,0.4,0.25,-1.4329474576083,0.0113346519551711,20000,1000
0,0.964285714285714,0.4,0.5,-1.43720043609855,0.0110215742056096,20000,1000
0,0.964285714285714,0.4,1,-1.43157023359442,0.0107812884917245,20000,1000
1,0.25,0.1,0.25,-1.44073394018525,0.00186898082845005,3246.219,1000
1,0.25,0.1,0.5,-1.42312423983048,0.00177300629054875,3249.79,1000
1,0.25,0.1,1,-1.38667901236268,0.0020126379753334,3250.117,1000
1,0.25,0.2,0.25,-1.14454713781922,0.0011616572983075,3781.267,1000
1,0.25,0.2,0.5,-1.11793985078087,0.0010917351300235,3779.48,1000
1,0.25,0.2,1,-1.06254635976089,0.00106675530111983,3779.69,1000
1,0.25,0.4,0.25,-0.766637610772409,0.000558649574049764,4761.877,1000
1,0.25,0.4,0.5,-0.738497953955517,0.000547106894599853,4763.846,1000
1,0.25,0.4,1,-0.688169328415218,0.00051272003653437,4761.993,1000
1,0.75,0.1,0.25,-1.13868084720384,0.00733879524219091,3251.135,1000
1,0.75,0.1,0.5,-1.07418266932652,0.00686188452577779,3251.65,1000
1,0.75,0.1,1,-0.961720459048652,0.00539970784787698,3246.611,1000
1,0.75,0.2,0.25,-0.936102501600398,0.0046158628015624,3771.962,1000
1,0.75,0.2,0.5,-0.847275718241199,0.0042338577294712,3769.452,1000
1,0.75,0.2,1,-0.669687767677699,0.00360715096306355,3779.731,1000
1,0.75,0.4,0.25,-0.67302780209157,0.00262515069264954,4792.639,1000
1,0.75,0.4,0.5,-0.555209088350231,0.00245314388460405,4791.693,1000
1,0.75,0.4,1,-0.327691727049314,0.00201736609732368,4791.384,1000
1,0.964285714285714,0.1,0.25,-0.930978521203844,0.0457410015357248,3251.142,1000
1,0.964285714285714,0.1,0.5,-0.845490234489963,0.0431223452637891,3236.718,1000
1,0.964285714285714,0.1,1,-0.694249195855588,0.0364390530929529,3232.834,1000
1,0.964285714285714,0.2,0.25,-0.766896148002763,0.0352189811642006,3772.755,1000
1,0.964285714285714,0.2,0.5,-0.643011194082598,0.0317248876191779,3744.462,1000
1,0.964285714285714,0.2,1,-0.419466296183769,0.0257989413067543,3756.363,1000
1,0.964285714285714,0.4,0.25,-0.568282160610252,0.0238705525700194,4798.855,1000
1,0.964285714285714,0.4,0.5,-0.386184716650565,0.0199145621073108,4777.912,1000
1,0.964285714285714,0.4,1,-0.0822605701399019,0.0141149545032878,4804.273,1000
2,0.25,0.1,0.25,-1.23432620319009,0.00622219116990159,769.296,1000
2,0.25,0.1,0.5,-1.18824531407282,0.00602564920928092,783.744,1000
2,0.25,0.1,1,-1.10365026162653,0.00525812112571566,813.03,1000
2,0.25,0.2,0.25,-0.836268189294441,0.00231298925591671,1204.525,1000
2,0.25,0.2,0.5,-0.780956957185656,0.00206065290307162,1236.431,1000
2,0.25,0.2,1,-0.66343951537699,0.00192448082439252,1306.899,1000
2,0.25,0.4,0.25,-0.424680686272661,0.000701498635950348,2212.805,1000
2,0.25,0.4,0.5,-0.37846193952894,0.000644777068285542,2276.948,1000
2,0.25,0.4,1,-0.305870433908702,0.000535812376838715,2393.583,1000
2,0.75,0.1,0.25,-0.979157617923759,0.0172484613942768,1044.875,1000
2,0.75,0.1,0.5,-0.857906769399961,0.0155065065695492,1114.385,1000
2,0.75,0.1,1,-0.647025152377418,0.0106717531688346,1244.164,1000
2,0.75,0.2,0.25,-0.730411026165768,0.0093316522558163,1482.279,1000
2,0.75,0.2,0.5,-0.553946094842801,0.00749184991954694,1618.888,1000
2,0.75,0.2,1,-0.259928767785435,0.0050681579841179,1938.163,1000
2,0.75,0.4,0.25,-0.441848783746383,0.00457188345023135,2448.107,1000
2,0.75,0.4,0.5,-0.240350044901604,0.00315894265235496,2753.42,1000
2,0.75,0.4,1,0.0669810214186051,0.00195273544154625,3456.093,1000
2,0.964285714285714,0.1,0.25,-0.779934126302418,0.111095796621213,1308.713,1000
2,0.964285714285714,0.1,0.5,-0.626170597488628,0.08838867820291,1415.763,1000
2,0.964285714285714,0.1,1,-0.369496034156132,0.0635752970166436,1640.838,1000
2,0.964285714285714,0.2,0.25,-0.570958979126169,0.0626142100905968,1777.412,1000
2,0.964285714285714,0.2,0.5,-0.350815842041931,0.050895030317785,1995.994,1000
2,0.964285714285714,0.2,1,-0.00542920401825033,0.029424387759223,2495.955,1000
2,0.964285714285714,0.4,0.25,-0.327480217178755,0.0321942835058343,2745.375,1000
2,0.964285714285714,0.4,0.5,-0.0540289320400491,0.0232864894311321,3272.866,1000
2,0.964285714285714,0.4,1,0.288930098963049,0.0106083246500744,4448.068,1000
3,0.25,0.1,0.25,-1.0699676824674,0.0174215947474165,224.579,1000
3,0.25,0.1,0.5,-1.01230117428268,0.0150483304516438,239.566,1000
3,0.25,0.1,1,-0.865754555371522,0.0110882088591856,270.402,1000
3,0.25,0.2,0.25,-0.635623386311818,0.00444528774984386,522.579,1000
3,0.25,0.2,0.5,-0.558232175359312,0.00342073412416807,566.829,1000
3,0.25,0.2,1,-0.392484018943318,0.00237854581038386,673.819,1000
3,0.25,0.4,0.25,-0.264395539604736,0.00077104573846698,1447.646,1000
3,0.25,0.4,0.5,-0.21300248753637,0.000734754250446304,1559.991,1000
3,0.25,0.4,1,-0.142254297401618,0.00053059858141696,1763.389,1000
3,0.75,0.1,0.25,-0.901105550310634,0.0455301640575036,395.789,1000
3,0.75,0.1,0.5,-0.711898620614511,0.0339517949366031,476.708,1000
3,0.75,0.1,1,-0.419519237073506,0.0174510315233152,655.254,1000
3,0.75,0.2,0.25,-0.599539329042314,0.0190451857056532,717.464,1000
3,0.75,0.2,0.5,-0.36947538071724,0.0111652100930535,934.229,1000
3,0.75,0.2,1,0.000825832627329306,0.00500245107319768,1498.901,1000
3,0.75,0.4,0.25,-0.303846167710983,0.00567027870622272,1577.484,1000
3,0.75,0.4,0.5,-0.052065950262185,0.00335376074255048,2168.488,1000
3,0.75,0.4,1,0.242533407301463,0.00136974099407982,3699.101,1000
3,0.964285714285714,0.1,0.25,-0.867937399940643,0.75107574678199,630.661322645291,998
3,0.964285714285714,0.1,0.5,-0.553633055867497,0.331830039124086,787.647,1000
3,0.964285714285714,0.1,1,-0.167046705940606,0.117669064676175,1165.327,1000
3,0.964285714285714,0.2,0.25,-0.451845155985505,0.139541073555912,1030.797,1000
3,0.964285714285714,0.2,0.5,-0.141290819374878,0.0660318897858011,1437.129,1000
3,0.964285714285714,0.2,1,0.248382576605414,0.0241361964850026,2519.391,1000
3,0.964285714285714,0.4,0.25,-0.158288393431426,0.0444701104153931,2006.302,1000
3,0.964285714285714,0.4,0.5,0.144790495953225,0.0216173811310427,3131.747,1000
3,0.964285714285714,0.4,1,0.409433970725789,0.00818594596476131,5959.117,1000
4,0.25,0.1,0.25,-0.960628818806688,0.045203323878837,77.698,1000
4,0.25,0.1,0.5,-0.882791952644412,0.038527448014772,87.699,1000
4,0.25,0.1,1,-0.680870774144199,0.0224097071150134,114.481,1000
4,0.25,0.2,0.25,-0.498715327926853,0.00623541867667141,277.374,1000
4,0.25,0.2,0.5,-0.413669688697589,0.00467664143642781,324.961,1000
4,0.25,0.2,1,-0.224364372041275,0.00263051387166057,455.76,1000
4,0.25,0.4,0.25,-0.188134626085702,0.000834901668514853,1111.745,1000
4,0.25,0.4,0.5,-0.134000715645367,0.000666198431156397,1261.187,1000
4,0.25,0.4,1,-0.0715539145450155,0.000476138695397845,1530.069,1000
4,0.75,0.1,0.25,-0.870319221824825,0.125178898789546,164.333,1000
4,0.75,0.1,0.5,-0.624981599005478,0.060470640409076,238.149,1000
4,0.75,0.1,1,-0.232726444811899,0.0240222788613514,435.594,1000
4,0.75,0.2,0.25,-0.50830915783409,0.0306259622584164,398.22,1000
4,0.75,0.2,0.5,-0.213407246746304,0.0135773253638742,650.045,1000
4,0.75,0.2,1,0.169359359546766,0.00438043855816429,1505.365,1000
4,0.75,0.4,0.25,-0.199484773080247,0.00744729460314603,1167.837,1000
4,0.75,0.4,0.5,0.0798501035774293,0.00348436813764675,2063.062,1000
4,0.75,0.4,1,0.304178596875654,0.000908458879293382,4717.748,1000
4,0.964285714285714,0.1,0.25,-1.13417288611029,2.11127095019095,340.781875658588,949
4,0.964285714285714,0.1,0.5,-0.557409702645207,0.92667666703139,514.305102040816,980
4,0.964285714285714,0.1,1,0.00392647918001879,0.208467667842973,1041.64864864865,999
4,0.964285714285714,0.2,0.25,-0.440566642831178,0.454277449470783,697.986947791165,996
4,0.964285714285714,0.2,0.5,0.00266369662404514,0.0676785832732925,1291.662,1000
4,0.964285714285714,0.2,1,0.375753556368227,0.0178189837499686,3270.091,1000
4,0.964285714285714,0.4,0.25,-0.0324826923445899,0.0471886982691088,1745.733,1000
4,0.964285714285714,0.4,0.5,0.269006559111856,0.0173701979897295,3660.125,1000
4,0.964285714285714,0.4,1,0.37609832307628,0.007569220513793,8967.025,1000
5,0.25,0.1,0.25,-0.896034693637649,0.106071419942984,30.322,1000
5,0.25,0.1,0.5,-0.792623377654489,0.0754313695370711,36.935,1000
5,0.25,0.1,1,-0.540415597106541,0.0361847095128596,58.72,1000
5,0.25,0.2,0.25,-0.418279016734906,0.00857830903655209,168.943,1000
5,0.25,0.2,0.5,-0.319492431745778,0.00662761728677069,215.389,1000
5,0.25,0.2,1,-0.119121630164198,0.00243816941556923,364.808,1000
5,0.25,0.4,0.25,-0.143794860509702,0.000987698389419144,921.396,1000
5,0.25,0.4,0.5,-0.0916975115084658,0.000751318683686396,1103.407,1000
5,0.25,0.4,1,-0.0364026389610667,0.000514564429328667,1424.764,1000
5,0.75,0.1,0.25,-0.928830110700458,0.442600396388202,73.3694779116466,996
5,0.75,0.1,0.5,-0.543312371698386,0.125404600369316,131.917,1000
5,0.75,0.1,1,-0.0923620311651555,0.0270011235457108,350.872,1000
5,0.75,0.2,0.25,-0.436684797650634,0.0488378132101395,243.794,1000
5,0.75,0.2,0.5,-0.0905795100376886,0.0177385936006092,529.471,1000
5,0.75,0.2,1,0.276402918632003,0.00332126132381176,1790.219,1000
5,0.75,0.4,0.25,-0.114269124707419,0.00864664229586744,960.867,1000
5,0.75,0.4,0.5,0.171334721662052,0.00258172933576166,2240.101,1000
5,0.75,0.4,1,0.308468081661324,0.000791392861755243,6395.334,1000
5,0.964285714285714,0.1,0.25,-1.42046478107757,2.97868969522098,234.664921465969,764
5,0.964285714285714,0.1,0.5,-0.558875145415639,1.36548342520323,408.274403470716,922
5,0.964285714285714,0.1,1,0.127054470653914,0.149201998825009,1141.70392749245,993
5,0.964285714285714,0.2,0.25,-0.420979694498787,0.805460474540485,536.918974358974,975
5,0.964285714285714,0.2,0.5,0.0872460630554373,0.172371242023717,1352.452,1000
5,0.964285714285714,0.2,1,0.426910786149969,0.0132623252473303,4788.297,1000
5,0.964285714285714,0.4,0.25,0.0689894808894129,0.0419641586559434,1735.653,1000
5,0.964285714285714,0.4,0.5,0.331251859408124,0.0121058598601915,4824.992,1000
5,0.964285714285714,0.4,1,0.2487831157614,0.0079631534898685,13000.831,1000
6,0.25,0.1,0.25,-0.879438261135646,0.26484021195241,13.0680894308943,984
6,0.25,0.1,0.5,-0.770418875146996,0.198870763701647,17.3433433433433,999
6,0.25,0.1,1,-0.431362412359928,0.0565319690028308,34.918,1000
6,0.25,0.2,0.25,-0.348565025404524,0.0123067978374188,111.646,1000
6,0.25,0.2,0.5,-0.248728820699167,0.008035538456873,157.158,1000
6,0.25,0.2,1,-0.0527279441876827,0.00266141400409594,324.461,1000
6,0.25,0.4,0.25,-0.120081924703188,0.00110704266781313,798.305,1000
6,0.25,0.4,0.5,-0.0670315767269767,0.000763323906082933,1007.18,1000
6,0.25,0.4,1,-0.0197746946076899,0.000492262596885395,1374.349,1000
6,0.75,0.1,0.25,-1.13806889409683,0.913597474303916,37.6232044198895,905
6,0.75,0.1,0.5,-0.523962872236461,0.313892394122563,82.7091273821464,997
6,0.75,0.1,1,0.0285443220907544,0.0287620392017227,327.045,1000
6,0.75,0.2,0.25,-0.370549508021414,0.0836719469062879,162.225,1000
6,0.75,0.2,0.5,0.00984090399844097,0.0171422257364251,490.179,1000
6,0.75,0.2,1,0.342606007742274,0.00222847865366488,2366.166,1000
6,0.75,0.4,0.25,-0.0412809528804079,0.00968153292980325,862.693,1000
6,0.75,0.4,0.5,0.235397194253521,0.00196560658286337,2664.013,1000
6,0.75,0.4,1,0.271297825153574,0.000748996003966478,8701.207,1000
6,0.964285714285714,0.1,0.25,-1.46399619178636,3.20906802811762,191.88045540797,527
6,0.964285714285714,0.1,0.5,-0.550258354080749,1.54136235108185,381.851985559567,831
6,0.964285714285714,0.1,1,0.239606419897701,0.102993507176436,1414.77878787879,990
6,0.964285714285714,0.2,0.25,-0.427733213948522,1.21425145196275,475.565405405405,925
6,0.964285714285714,0.2,0.5,0.203790135675382,0.109861103795195,1598.07947686117,994
6,0.964285714285714,0.2,1,0.388456590303052,0.0107762170291865,7327.2,1000
