"h2","var.z","p0","t","nbar","nvar","nn"
0.25,0.1,0.75,0,20000,0,4
0.25,0.1,0.75,1,3213.5,8199,4
0.25,0.1,0.75,2,948.25,2932.25,4
0.25,0.1,0.75,3,398.25,6523.58333333333,4
0.25,0.1,0.75,4,182.75,560.916666666667,4
0.25,0.1,0.75,5,89.25,173.583333333333,4
0.25,0.1,0.75,6,57.75,248.916666666667,4
0.25,0.1,0.75,7,36.5,483,4
0.25,0.1,0.75,8,29.75,446.916666666667,4
0.25,0.1,0.75,9,31.25,487.583333333333,4
0.25,0.1,0.75,10,29.75,751.583333333333,4
0.25,0.1,0.75,11,34.5,721.666666666667,4
0.25,0.1,0.75,12,30,582,4
0.25,0.1,0.75,13,36.5,823,4
0.25,0.1,0.75,14,55.5,1136.33333333333,4
0.25,0.1,0.75,15,67.75,1578.25,4
0.25,0.1,0.75,16,86.75,2850.91666666667,4
0.25,0.1,0.75,17,96,3192.66666666667,4
0.25,0.1,0.75,18,128.25,4972.25,4
0.25,0.1,0.75,19,180.75,8646.91666666667,4
0.25,0.1,0.75,20,243.75,29328.25,4
0.25,0.1,0.75,21,333.25,78828.25,4
0.25,0.1,0.75,22,535.5,351075,4
0.25,0.1,0.75,23,816.75,1101354.25,4
0.25,0.1,0.75,24,1289.75,3386358.91666667,4
0.25,0.1,0.75,25,1993.5,9252901.66666667,4
0.25,0.1,0.75,26,2869.75,20614790.25,4
0.25,0.1,0.75,27,3873,39530258.6666667,4
0.25,0.1,0.75,28,4589.5,56563483.6666667,4
0.25,0.1,0.75,29,5130,70465964.6666667,4
0.25,0.1,0.75,30,5546.5,77717789.6666667,4
0.25,0.1,0.75,31,5916,82011590,4
0.25,0.1,0.75,32,6182.5,80263529.6666667,4
0.25,0.1,0.75,33,6433.75,76513802.9166667,4
0.25,0.1,0.75,34,6883,79149469.3333333,4
0.25,0.1,0.75,35,7250,72631494,4
0.25,0.1,0.75,36,7650.25,69894966.9166667,4
0.25,0.1,0.75,37,8166.75,65962460.9166667,4
0.25,0.1,0.75,38,8751.25,63465138.25,4
0.25,0.1,0.75,39,9163,58911502,4
0.25,0.1,0.75,40,9656,54806436,4
0.25,0.1,0.75,41,10125.75,51075280.9166667,4
0.25,0.1,0.75,42,10628,46935725.3333333,4
0.25,0.1,0.75,43,11338.5,46684945.6666667,4
0.25,0.1,0.75,44,11781.5,47430935,4
0.25,0.1,0.75,45,12174.75,42161682.9166667,4
0.25,0.1,0.75,46,12603,38561550.6666667,4
0.25,0.1,0.75,47,12530.25,33968137.5833333,4
0.25,0.1,0.75,48,12892.5,29327025.6666667,4
0.25,0.1,0.75,49,13612.75,30579334.25,4
0.25,0.1,0.75,50,13817.75,24656104.9166667,4
0.25,0.1,0.75,51,14269.5,21222441,4
0.25,0.1,0.75,52,14371,17560094,4
0.25,0.1,0.75,53,14423.25,16359393.5833333,4
0.25,0.1,0.75,54,14905.5,13244343,4
0.25,0.1,0.75,55,15060,10466412,4
0.25,0.1,0.75,56,15155,8415648.66666667,4
0.25,0.1,0.75,57,15271.25,9196732.25,4
0.25,0.1,0.75,58,15651,11687556.6666667,4
0.25,0.1,0.75,59,15704,9471329.33333333,4
0.25,0.1,0.75,60,15984.25,8206188.91666667,4
0.25,0.1,0.75,61,16389.5,8035131,4
0.25,0.1,0.75,62,16225.5,7210949.66666667,4
0.25,0.1,0.75,63,16745.5,7758503,4
0.25,0.1,0.75,64,16474,6413422,4
